num	请观看视频并简单描述这段视频里的所有声音	你听见了什么声音	你会怎么描述这些声音	这些声音是什么物体/人发出的	这是在什么场景发出的声音	duration	filename	samplerate
5	病房内伤者向医生讲述受伤经过，然后有人声，放片子声音，观片灯开关声以及人的脚步声	人的对话声，碰撞声，开关声与脚步声。	对话声，X光片碰撞声，观片灯开关声，走路的脚步声。	对话声由伤者和医生发出，碰撞声由X光片发出，开关声由观片灯发出，脚步声由两名医生发出。	伤者在病房内向医生讲述受伤经过，医生查看伤者的X光片。	10.005963718820862	hospital_3707/5.wav	44100
5	病人在描述自己的病情声，片子抖动声，开机器灯的声音，医生分析病情声	人声，片子抖动声，机器开灯声	对话声，片子放到机器上的声音，机器开灯声音	对话由两个医生和一个病人发出，片子，机器	医生和病人在病房内交流	10.005963718820862	hospital_3707/5.wav	44100
5	几个人在交谈，有仪器声，走路声	交谈声，脚步声，胶片放置声	医生和病患交谈声，医生走路声和X逛片放在仪器上的声音	患者，医用仪器，医生	诊断病患医生交谈声	10.005963718820862	hospital_3707/5.wav	44100
6	手术室内两名医生在进行手术，然后有人声，深呼吸声，手术操作声	人的对话声，深呼吸声与手术操作声。	对话声，深呼吸声，手术操作的声音。	对话由两名医生发出，深呼吸由其中一名医生发出，手术声由手术器械发出。	手术室内两名医生在做手术。	10.005963718820862	hospital_3707/6.wav	44100
6	两个医生在手术室里交流的对话声	人声	对话声	对话声由两个医生发出	两个医生在手术室交流	10.005963718820862	hospital_3707/6.wav	44100
6	两个医生做手术，器械摩擦声，呼气声	医用器械摩擦声，说话声，呼吸声	医生交谈的声音，手术器械摩擦声，医生呼气声	医生，工具	手术室医生做手术	10.005963718820862	hospital_3707/6.wav	44100
7	医院内患者与护士进行对话，然后有人声，嘈杂路人说话声	人的对话声，路人嘈杂声。	对话声，路人说话的嘈杂声。	对话由患者和护士发出，嘈杂声由路人发出。	医院内患者于护士进行对话。	10.005963718820862	hospital_3707/7.wav	44100
7	医院急诊室里护士和病人的交流	人声	对话声	对话声由护士和病人发出	在急诊室里病人要求打狂犬疫苗	10.005963718820862	hospital_3707/7.wav	44100
7	两个人交谈，有说话和后期制作声	说话声，走路声	护士和病人对话，后期制作声	病人，电脑，护士	一个人急诊打针	10.005963718820862	hospital_3707/7.wav	44100
8	几名医生在办公室闲聊，然后有人声，医疗器械碰撞声	人的对话声，碰撞声。	对话声，整理器械发出的碰撞声。	医生，医疗器械。	医院办公室内几名医生在闲聊。	10.005963718820862	hospital_3707/8.wav	44100
8	有人在办公室里说话声，吃东西的声音，摆放器械的声音	人声，吃东西声，摆放器械声	对话声，吃水果的声音，器械与容器的撞击声	对话声由几个医生发出，器械，食物	在办公室里几个医生交谈	10.005963718820862	hospital_3707/8.wav	44100
8	一群人交谈，办公声和咀嚼声	咀嚼声，人声，器械碰撞声	医生办公的声音和说话声，食物咀嚼声，	医生，器械	医生办公室办公说话吃东西	10.005963718820862	hospital_3707/8.wav	44100
9	医院里医生和护士闲聊，然后有人声，走路的脚步声，和后期操作声	人的对话声，脚步声，后期操作声。	对话声，走路的脚步声，后期操作声。	对话由医生和护士发出，脚步声由医生和其他路人发出，后期操作声由电脑发出。	医生和护士在医院大堂内闲聊。	10.005963718820862	hospital_3707/9.wav	44100
9	医院里有人在交流，有人的对话声，走路声	人声，走路声	对话声，走路声	对话由两个医生发出，走路声由医生发出	在医院大厅里送咖啡	10.005963718820862	hospital_3707/9.wav	44100
9	两个人对话，有医院人员走动声	人声，脚步声	医生说话声，工作人员走动声	医生，医院工作人员	医生办公室医生交谈	10.005963718820862	hospital_3707/9.wav	44100
10	医院内患者家属与医生护士进行对话，然后有人声，走路的脚步声以及嘈杂的路人说话声	人的对话声，脚步声，路人嘈杂声。	对话声，走路的脚步声，路人说话的嘈杂声。	对话声由患者家属、医生、护士发出，嘈杂声由路人发出，脚步声由患者家属发出。	医院内患者家属与医生护士对话。	10.005963718820862	hospital_3707/10.wav	44100
10	医院大厅有人在交流，有人的对话声，走路声	人声，走路声	对话声，走路声	对话由医生和病人家属发出，走路声由病人家属发出	在医院大厅医生和病人家属交流	10.005963718820862	hospital_3707/10.wav	44100
10	几个人说话的声音，脚步声和后期设备声	人声，脚步声，后期配声	医生说话声，病患交谈声，后期医院配音	电脑，医生和患者，医院人员	医患看病交谈	10.005963718820862	hospital_3707/10.wav	44100
11	在医院，一群医生的对话，奶茶盖子盖上的声音	人声，关盖声	说话的声音，奶茶关上盖子的声音	一群医生，一罐奶茶	病房内一群医生对话	10.005963718820862	hospital_3707/11.wav	44100
11	几个人在医院的病房里，有交谈声，衣服摩擦的声音	人声，衣服摩擦声	医生交流的声音，医生身上衣服摩擦的声音	医生，医生的衣服	几个医生在医院的一个病房里交谈	10.005963718820862	hospital_3707/11.wav	44100
11	几个医生在病房内交流，对话声	人声 	对话声	对话声由几个医生发出	在病房几个医生交谈	10.005963718820862	hospital_3707/11.wav	44100
12	在医院，医生和病人对话，医生翻动纸张	人声，纸声	说话的声音，纸张翻动的声音	医生和病人，纸	医生在病房询问病人	10.005963718820862	hospital_3707/12.wav	44100
12	一位医生和病人交谈，有人声，写字的声音，医疗设备的声音	人声，写字声，机械声	医生和病人交流的声音，医生写字的声音，医疗设备的响声	医生，病人，笔，医疗设备	病房里医生与病人交流病因	10.005963718820862	hospital_3707/12.wav	44100
12	病人描述自己的病情声，和医生对话声	人声	对话声	对话声由医生和病人发出	医生在检查病人的情况	10.005963718820862	hospital_3707/12.wav	44100
13	在医院，两个医生间和病人对话	人声，呼吸声	说话的声音，沉重的呼吸声	医生和病人	两个医生给病人做检查	10.005963718820862	hospital_3707/13.wav	44100
13	两位医生在为病人诊治，医生讲话声音，病人呼吸声音，医疗设备的声音	人声，机械声	医生讲解病情的声音，病人的呼吸声和医疗机械设备的响声	医生，病人，医疗设备	医院病房里医生为病人诊治病情	10.005963718820862	hospital_3707/13.wav	44100
13	有人在检查身体，人的对话声，键盘声，机器运转声	人声，键盘声，机器运转声	对话声，敲击键盘声，机器工作声	对话声由医生和病人发出，键盘声和机器运转声由机器发出	病人在用机器检查身体	10.005963718820862	hospital_3707/13.wav	44100
14	医院，医生和护士在走廊对话，周围都是人走动和说话的声音	人声，走动声	说话的声音，人走动的声音	医生和护士	医院走廊内，护士和医生对话	10.005963718820862	hospital_3707/14.wav	44100
14	医院的走廊里医生之间的交流，医生的交流声，医院外的警笛声，走路发出的声音，广播声，医院里人的嘈杂声	人声，警笛声，广播声，鞋发出的声音	医生交谈的声音，警车的警笛声，警车的广播声，医院里嘈杂的声音，鞋子敲地板发出的声音	医生，警车，医院里的人	灾难发生后的医院的走廊中医生之间的交流	10.005963718820862	hospital_3707/14.wav	44100
14	医院里有人在交流，有人的对话声，跑步声，背景音乐	人声，跑步声，背景音乐声	对话声，跑步声，背景音乐声	对话声由两个医生发出，跑步声由周围的人发出，背景音乐由电脑合成	在医院走廊里两个医生交流	10.005963718820862	hospital_3707/14.wav	44100
15	医院，两个医生对话，走动声	人声，走动声	说话的声音，人走动的声音	两个医生	病房内，两个医生对话	10.005963718820862	hospital_3707/15.wav	44100
15	两位医生在病房里的交流，医生的交流声，转身走路的声音	人声，鞋子发出的声音	医生交谈的声音，医生转身走路的声音	医生	两位医生在病房中交流病人的情况	10.005963718820862	hospital_3707/15.wav	44100
15	病房内医生和医生的对话声	人声	对话声	对话声由两个医生发出	两个医生在病房交流	10.005963718820862	hospital_3707/15.wav	44100
16	医院，两个医生和病人对话，有病床铁架移动的声音	人声，铁架声	说话的声音，病床铁架移动的声音	人，床	病房内，医生和病人对话，医生调整病床	10.005963718820862	hospital_3707/16.wav	44100
16	医生和卧床病人之间的交流，医生和病人之间的对话声音，医生走路声，医生拆卸设备的声响	人声，鞋子发出的声音，器械声音	医生和病人交谈声，医生走路的声音，医生拆卸器械的声音	医生，病人，器械	两位医生和病人之间病房中的谈话	10.005963718820862	hospital_3707/16.wav	44100
16	病房内医生和病人的对话声，搬动器械声	人声，搬动器械声	对话声，整理器械声	对话声由医生和病人发出，器械	医生和病人在病房内交流	10.005963718820862	hospital_3707/16.wav	44100
17	医院，病人和医生对话	人声	说话的声音	医生和病人	病房内，病人和医生的对话	10.005963718820862	hospital_3707/17.wav	44100
17	病人的讲话和医生向病人讲解病情，病人的讲话声，医生说明病情的声音，病人的呼气声	人声	病人讲话的声音，医生讲述病情讲话的声音，病人的呼气声	医生，病人	在病床傍边医生向病人和家属说明病情	10.005963718820862	hospital_3707/17.wav	44100
17	病房内医生和病人的对话声	人声	对话声	对话声由医生和病人发出	医生和病人在病房内交流	10.005963718820862	hospital_3707/17.wav	44100
18	医院，病人拿着纸和医生对话	人声，纸声	说话的声音，纸张翻动的声音	医生和病人，纸	病房内，病人和医生的对话	10.005963718820862	hospital_3707/18.wav	44100
18	病人向医生请求事情，病人的声音，病人签字的声音，医生的声音，医疗设备的声音	人声，写字声，机械响声	病人的请求声音，病人的签字声音，医生说话声音，医疗设备的响声	医生，病人，机械，笔	在病床傍边，病人向医生请求给男友打电话	10.005963718820862	hospital_3707/18.wav	44100
18	病房内医生和病人的对话声，医疗机器运转声	人声，机器运转声	对话声，机器工作声	对话声由医生和病人发出，以及机器	病人要求通知男朋友做手术的消息	10.005963718820862	hospital_3707/18.wav	44100
19	医院，病人和医生对话	人声	说话的声音	医生和病人	病房内，病人和医生的对话	10.005963718820862	hospital_3707/19.wav	44100
19	医生和病人之间的交谈，医生和病人的交谈声，机械的响声	人声，机械声	医生和病人之间的交流的声音和机械的响声	医生，病人，机械	在病床傍边，医生和病人之间的交流	10.005963718820862	hospital_3707/19.wav	44100
19	病房内医生和病人的对话声，车轮声	人声，车轮声	对话声，小推车路过的车轮声	对话声由医生和病人发出，以及小推车	医生和病人在病房内交流	10.005963718820862	hospital_3707/19.wav	44100
20	医院，两个医生对话，走动声	人声，走动声	说话的声音，人走动的声音	医生	病房内，两个医生对话	10.005963718820862	hospital_3707/20.wav	44100
20	两位医生之间的交流声音，音乐背景声音	人声，背景声	两位医生之间的交谈的声音，和背景音乐的声音	医生，背景	在医院办公室里，一位医生向另一位医生示爱	10.005963718820862	hospital_3707/20.wav	44100
20	两个医生的对话声，后期制作声	人声，后期制作声	对话声，后期制作声	对话声由两个医生发出以及电脑	两个医生在交谈	10.005963718820862	hospital_3707/20.wav	44100
21	医院，仪器响着，医生和病人对话	人声，仪器声	说话的声音，仪器一直在响	医生和病人，仪器	病房，病人和医生对话，仪器在旁边响着	10.005963718820862	hospital_3707/21.wav	44100
21	在病房里，有人的对话声，人叫声，机器操作声	对话声，人叫声，机器操作声	医生和病人对话声，人疼痛叫声，机器操作声	"医生与病人发出对话声
，病人发出叫声机器发出操作声"	病房里，病人将需要做手术。	10.005963718820862	hospital_3707/21.wav	44100
21	病房内医生和病人的对话声，医疗机器运转声	人声，机器运转声	对话声，机器工作声	对话声由医生和病人发出，以及机器	有人在病房准备做手术	10.005963718820862	hospital_3707/21.wav	44100
22	医院，几个医生边整理东西边对话	人声，整理声，走动声	说话的声音，人走动的声音	医生，资料	办公室，医生们边整理资料边对话	10.005963718820862	hospital_3707/22.wav	44100
22	在手术室里，有人的说话声，背景音效，关门声	人声，背景音效，关门声	医生说话，背景音效，关门声	"医生发出人声，电脑发出背景音效，门发出关门声
"	在手术室里，医生即将手术。	10.005963718820862	hospital_3707/22.wav	44100
22	两个医生的对话声，关门声，后期制作声	人声，关门声，后期制作声	对话声，关门声，后期制作声	对话声由两个医生发出，门以及电脑	医生准备进手术室做手术	10.005963718820862	hospital_3707/22.wav	44100
23	医院，几个医生整理东西	人声，整理声，走动声	旁白，走动声，整理东西的声音	医生，衣物	储物间，医生在各自整理东西	10.005963718820862	hospital_3707/23.wav	44100
23	在病房里，有人声，背景音效，翻弄钱夹声，叹气声	人声，背景音效，翻弄钱夹声，叹息声	内心独白声，背景音效，翻弄钱夹声，人的叹息声	医生，电脑，钱夹	在病房里，探望病人	10.005963718820862	hospital_3707/23.wav	44100
23	有人在说话，走路声，后期制作声	人声，走路声，后期制作声	说话声，后期制作声，走路声	说话声由病人家属发出，走路声由医生发出，以及电脑	病人床前	10.005963718820862	hospital_3707/23.wav	44100
24	医院走廊上，医生和护士对话	人声，走动声，推床声	说话的声音，人走动的声音，医生推动救护床的声音	医生和病人，推床	医院走廊上，医生和护士对话，推动有病人的推床进病房	10.005963718820862	hospital_3707/24.wav	44100
24	在医院里，有人的对话声，人群嘈杂声，脚步声，打电话声	对话声，人群嘈杂声，脚步声，打电话声	医生的对话声，人群的嘈杂声，走路的脚步声，护士打电话声	对话声，嘈杂声，脚步声都由医生发出，打电话声是护士发出	在医院大堂前台，病人需要救治	10.005963718820862	hospital_3707/24.wav	44100
24	医生和护士在医院的对话声，车轮声	人声，车轮声	对话声，推车的声音	对话声由医生和护士发出以及推车	病人病情严重，找权威医生救治	10.005963718820862	hospital_3707/24.wav	44100
25	医院走廊上，两个医生对话	人声，走动声	说话的声音，人走动的声音	医生	医院走廊内，两个医生对话	10.005963718820862	hospital_3707/25.wav	44100
25	在医院里，有人声，后期操作声，脚步声	对话声，后期操作声，脚步声	医生间的对话声，后期操作声，走路脚步声	对话声，脚步声由医生发出，后期操作声由电脑发出	"在医院手术室外，
医生刚做完手术，"	10.005963718820862	hospital_3707/25.wav	44100
25	有人在手术室里和外面的对话声，走路声	人声，走路声	对话声，走路声	对话声由两个医生发出，走路声由一个医生发出	手术室里进行交流	10.005963718820862	hospital_3707/25.wav	44100
26	病房内，病人家属和医生对话	人声	说话的声音	医生和家属	病房内，医生和病人家属对话	10.005963718820862	hospital_3707/26.wav	44100
26	在病房里，有人声，笑声	人声，笑声	病人家属说话声，医生的笑声	病人家属发出说话声，医生发出笑声	在病房里，医生和病人家属对话	10.005963718820862	hospital_3707/26.wav	44100
26	病房内医生和病人家属的对话声	人声	对话声	对话声由医生和病人家属发出	在病房里医生和家属交流	10.005963718820862	hospital_3707/26.wav	44100
27	走廊上有人打电话，手术室里医生和护士对话，计时器在响	人声，仪器声，手机提示音	说话的声音，手机和仪器的提示音	医生和护士和家属，手机，仪器	走廊上，女家属打电话，手术室内医生和护士对话，仪器响起	10.005963718820862	hospital_3707/27.wav	44100
27	在医院里，有电话铃声，人声，设备响声	电话铃声，人声，设备响声	电话响铃声，人的对话声，医生对话声	电话，病人家属，医生	在病房和手术室里，医生将动手术	10.005963718820862	hospital_3707/27.wav	44100
27	接听电话时手机翻盖声音，医生对话声，通讯工具的铃声	人声，手机翻盖声，通讯工具铃声	对话声，手机翻盖声，通讯工具铃声	对话声由医生发出，接电话由拿手机的人发出，以及通讯工具	有人在做手术中	10.005963718820862	hospital_3707/27.wav	44100
28	手术台上，医生和病人对话	人声，仪器声	说话的声音，仪器一直在响	医生护士和病人，仪器	手术台上，医生和病人对话，仪器一直在响	10.005963718820862	hospital_3707/28.wav	44100
28	在手术室里，有人的对话声，机器操作声	对话声，机器操作声	医生和病人的对话声，机器操作声	医生和病人发出对话声，机器发出操作声	在手术室里，医生给病人做手术	10.005963718820862	hospital_3707/28.wav	44100
28	病房内医生和病人的对话声，医疗机器运转声	人声，机器运转声	对话声，机器工作声	对话声由医生和病人发出，以及机器	有人在手术室做手术	10.005963718820862	hospital_3707/28.wav	44100
29	病房内，病人和医生对话，挣扎	人声，挣扎声	说话的声音，病人挣扎的声音	医生护士和病人	病房内，医生和病人对话，病人挣扎	10.005963718820862	hospital_3707/29.wav	44100
29	在病房里，有人的对话声，机器响声	对话声，机器响声	医生和病人的对花生，机器响声	医生和病人发出对话声，机器发出响声	在病房里，医生看望病人	10.005963718820862	hospital_3707/29.wav	44100
29	病房内医生和病人的对话声，走路声	人声，走路声	对话声，走路声	对话声由医生和病人发出，走路声由医生发出	病人要为女儿过生日，想离开医院	10.005963718820862	hospital_3707/29.wav	44100
30	餐厅内，路人走动，几个人对话，移动桌椅	人声，桌椅声，走动声	说话的声音，移动桌椅的声音，走动的声音	人，椅子	餐厅，路人走动，一个人移动椅子走开，几个人对话	10.005963718820862	hospital_3707/30.wav	44100
30	在饭桌上，有推板凳声，对话声	推板凳声，人的对话声	人的对话声，推板凳声	人发出对话声，板凳发出推板凳声	在饭桌上，一群朋友用餐	10.005963718820862	hospital_3707/30.wav	44100
30	在餐厅里有几个人的对话声，拖动凳子的声音	人声，凳子声	对话声，起身离开座位时凳子的声音	对话声由吃饭的人发出，凳子	一群人在餐厅吃饭	10.005963718820862	hospital_3707/30.wav	44100
31	病房内，病人和医生对话，医生整理资料	人声，纸声	说话的声音，纸张	病人，纸张	病房内，病人对医生说话，医生整理资料	10.005963718820862	hospital_3707/31.wav	44100
31	在病房里，有背景音效，人声	背景音效，人声	背景音效，病人的说话声	电脑发出背景音效，病人发出说话声	在病房里，医生看治病人	10.005963718820862	hospital_3707/31.wav	44100
31	病人和医生说话，翻纸声	人声，翻纸声	说话声，翻病历声	说话声由病人发出，纸	病人在和医生讲述结婚时候场景	10.005963718820862	hospital_3707/31.wav	44100
32	病房内，病人和医生对话	人声，走动声	说话的声音，人走动的声音	病人医生	病房内医生和病人对话，医生走动	10.005963718820862	hospital_3707/32.wav	44100
32	在病房里，有人的对话声，文件记录声	对话声，文件记录声	病人和医生的对话声，在文件上记录文字声	医生和病人，文件	在病房里，医生看望病人	10.005963718820862	hospital_3707/32.wav	44100
32	病房内医生和病人的对话声，走路声	人声，走路声	对话声，走路声	对话声由医生和病人发出，走路声由医生发出	医生在和病人商量治疗	10.005963718820862	hospital_3707/32.wav	44100
33	办公室内，医生对话	人声，走动声	说话的声音，人走动的声音	医生	办公室，医生对话，走动	10.005963718820862	hospital_3707/33.wav	44100
33	在手术室里，有背景音效，对话声	背景音效，对话声	背景音效，医生的对话声	电脑发出背景音效，医生发出对话声	在手术室里，医生做手术	10.005963718820862	hospital_3707/33.wav	44100
33	两个医生的对话声，后期制作声，有一个医生说话声	人声，后期制作声	对话声，后期制作声	对话声由两个医生发出，一个医生在说话，以及电脑	有人在手术室做手术，有医生在检查病情	10.005963718820862	hospital_3707/33.wav	44100
34	办公室内，医生对话	人声，走动声	说话的声音，人走动的声音	医生	办公室，医生对话，走动	10.005963718820862	hospital_3707/34.wav	44100
34	在办公室里，有背景音效，对话声	背景音效，对话声	背景音效，医生的对话声	电脑发出背景音效，医生发出对话声	在办公室，医生之间谈话	10.005963718820862	hospital_3707/34.wav	44100
34	两个医生的对话声，后期制作声	人声，后期制作声	对话声，后期制作声	对话声由两个医生发出以及电脑	两个医生在办公室交流	10.005963718820862	hospital_3707/34.wav	44100
35	病房内，医生和病人对话	人声	说话的声音	医生和病人	病房内，医生和病人谈话	10.005963718820862	hospital_3707/35.wav	44100
35	在病房里，有对话声	对话声	病人和医生的对话声	病人和医生发出对话声	在病房，医生看望病人	10.005963718820862	hospital_3707/35.wav	44100
35	病房内医生和病人的对话声	人声	对话声	对话声由医生和病人发出	医生和病人在病房内交流	10.005963718820862	hospital_3707/35.wav	44100
36	手术台上，医生对话	人声，仪器声	说话的声音，仪器一直在响	医生，仪器	手术台上，仪器一直在响，医生和护士对话	10.005963718820862	hospital_3707/36.wav	44100
36	在手术室里，有机器操作声，对话声	机器的操作声，对话声	机器操作声，医生的对话声	机器发出操作声，医生发出对话声	在手术室里，医生做手术	10.005963718820862	hospital_3707/36.wav	44100
36	手术室内有人对话，手术器械声，机器运作声	人声，手术器械声，机器运转声	对话声，机器工作声，手术器械工作声	对话声由医生发出，以及医疗机器和手术器械	有人在手术室做手术	10.005963718820862	hospital_3707/36.wav	44100
37	办公室，医生让病人喝咖啡	人声，杯子声	说话的声音，杯子放下的声音	医生，杯子	办公室内，医生让病人喝咖啡	10.005963718820862	hospital_3707/37.wav	44100
37	在病房里，有背景音效，对话声，欢呼声，笑声	背景音效，对话声，欢呼声，笑声	背景音效，病人和医生的对话声，医生的欢呼声，笑声	电脑发出背景音效，病人和医生发出对话声，医生发出欢呼声和笑声	在病房里，医生让病人和东西	10.005963718820862	hospital_3707/37.wav	44100
37	病房内医生和病人的对话声，鼓掌声，后期制作声	人声，鼓掌声，后期制作声	对话声，医生鼓掌声，后期制作声	对话声由医生和病人发出，鼓掌声由医生发出，电脑	医生鼓励病人吃东西	10.005963718820862	hospital_3707/37.wav	44100
38	办公室内，医生对话，电脑提示音	人声，电脑声	说话的声音，电脑提示音	医生，电脑	办公室内，医生对话，电脑在响	10.005963718820862	hospital_3707/38.wav	44100
38	在办公室里，有电脑声，欢呼声，对话声	电脑声，欢呼声，对话声	电脑的游戏声，医生和病人的欢呼声，对话声	电脑发出游戏声，医生和病人发出欢呼声，对话声	在办公室里，医生看病人打游戏	10.005963718820862	hospital_3707/38.wav	44100
38	病房内医生的对话声，医疗机器运转声	人声，机器运转声	对话声，机器工作声	对话声由医生发出，以及机器	医生和病人交流	10.005963718820862	hospital_3707/38.wav	44100
39	病房内，呼吸声，手术台上电子仪器提示，医生对话	人声，仪器声，呼吸声	说话的声音，沉重的呼吸声，仪器提示的声音	医生，病人，仪器	病房内的病人呼吸沉重，手术台上的医生在对话	10.005963718820862	hospital_3707/39.wav	44100
39	在手术室里，有设备响声，喘气声，对话声	设备响声，喘气声，对话声	设备响声，病人喘气声，医生对话声	机器设备发出响声，病人发出喘气声，医生发出对话声	在手术室里，医生给病人做手术	10.005963718820862	hospital_3707/39.wav	44100
39	病房内医生的对话声，医疗机器运转声，后期制作声	人声，机器运转声，后期制作声	对话声，机器工作声，后期制作声	对话声由医生发出，以及机器，电脑	有人在手术室做手术	10.005963718820862	hospital_3707/39.wav	44100
40	医生在走廊上和人谈话	人声，走动声	说话的声音，人走动的声音	人	医生在走廊上和人谈话	10.005963718820862	hospital_3707/40.wav	44100
40	在医院里，有对话声，叹气声	对话声，叹气声	医生和病人家属对话声，家属叹气声	医生和病人家属发出对话声，家属发出叹气声	在医院里，医生和病人家属谈话	10.005963718820862	hospital_3707/40.wav	44100
40	病房外医生和病人家属的对话声	人声	对话声	对话由医生和病人家属发出	病人家属有纠纷	10.005963718820862	hospital_3707/40.wav	44100
41	医生在病房内讨论	人声，塑料袋声	说话的声音，拿塑料袋的声音	医生，塑料袋	医生在病房内讨论，拿起了塑料袋	10.005963718820862	hospital_3707/41.wav	44100
41	在病房里，有对话声，拿东西声	对话声，那东西声	医生间的对话声，医生拿袋子的声音	医生，塑料袋	在病房里，医生看望病人，分析病情	10.005963718820862	hospital_3707/41.wav	44100
41	在医院里抢救一名病人，男医生和男护士的对话	人声、摩擦声	说话的声音，布料的摩擦声	医生、护士	医院抢救室	10.005963718820862	hospital_3707/41.wav	44100
42	医生在换衣间对话	人声，摩擦声	说话的声音，医生穿衣服的声音	医生，衣物	医生在换衣间对话，换衣服	10.005963718820862	hospital_3707/42.wav	44100
42	在病房里，有对话声，背景音效	对话声，背景音效	医生间的对话声，背景音效	医生发出对话声，电脑发出背景音效	在病房里，医生对话	10.005963718820862	hospital_3707/42.wav	44100
42	医院走廊和急诊室里，医生、护士和病人的对话	人声	描述受伤情况的对话，急迫	医生，护士，病人	医院走廊，急诊室	10.005963718820862	hospital_3707/42.wav	44100
43	医生在走廊和病人对话	人声	说话的声音	医生和病人	医生在走廊边换药边和病人对话	10.005963718820862	hospital_3707/43.wav	44100
43	在手术室里，有对话声	对话声	医生和病人对话声	医生和病人发出对话声	在手术室，医生给病人处理伤口	10.005963718820862	hospital_3707/43.wav	44100
43	一个枪伤病人和医生的对话	人声	说话的声音	病人，医生	医生给病人处理枪伤	10.005963718820862	hospital_3707/43.wav	44100
44	医生和护士对话，仪器在响	人声，仪器声	说话的声音，仪器提示音	医生，仪器	医生和护士对话，仪器响着	10.005963718820862	hospital_3707/44.wav	44100
44	在办公室里，有对话声，叹气声，说话声	对话声，叹气声，说话声	医生间的对话声，医生的叹气声，病人说话声	医生发出对话声和叹气声，病人发出说话声	在办公室里，医生看着病人情况对话	10.005963718820862	hospital_3707/44.wav	44100
44	医生和护士在给一个病人做x光	人声	说话的声音	医生，护士	照射X光的房间	10.005963718820862	hospital_3707/44.wav	44100
45	医生对话	人声	说话的声音	医生	医生在办公室内说话	10.005963718820862	hospital_3707/45.wav	44100
45	在办公室里，有背景声，说话声	背景声，说话声	背景声，医生的说话声	电脑发出背景声，医生发出说话声	在办公室里，医生间谈话	10.005963718820862	hospital_3707/45.wav	44100
45	三个医生对病情展开讨论	人声	说话的声音	三个医生	医生办公室	10.005963718820862	hospital_3707/45.wav	44100
46	病人和医生对话	人声	说话的声音	病人	病人在病房对医生说	10.005963718820862	hospital_3707/46.wav	44100
46	在病房里，有说话声	说话声	病人的说话声	病人发出说话声	在病房里，病人对医生谈话	10.005963718820862	hospital_3707/46.wav	44100
46	病人和护士的对话	人声	说话的声音	护士，病人	病房	10.005963718820862	hospital_3707/46.wav	44100
